Nro.,Fecha,Valor de la UFV
517,31 de Mayo 2024,2.49995
518,1 de Junio 2024,2.50019
519,2 de Junio 2024,2.50043
520,3 de Junio 2024,2.50067
521,4 de Junio 2024,2.50091
522,5 de Junio 2024,2.50115
523,6 de Junio 2024,2.50139
524,7 de Junio 2024,2.50163
525,8 de Junio 2024,2.50187
526,9 de Junio 2024,2.50211
527,10 de Junio 2024,2.50235
528,11 de Junio 2024,2.50259
529,12 de Junio 2024,2.50283
530,13 de Junio 2024,2.50307
531,14 de Junio 2024,2.50331
532,15 de Junio 2024,2.50355
533,16 de Junio 2024,2.50379
534,17 de Junio 2024,2.50403
535,18 de Junio 2024,2.50427
536,19 de Junio 2024,2.50451
537,20 de Junio 2024,2.50475
538,21 de Junio 2024,2.50499
539,22 de Junio 2024,2.50523
540,23 de Junio 2024,2.50547
541,24 de Junio 2024,2.50571
542,25 de Junio 2024,2.50595
543,26 de Junio 2024,2.50619
544,27 de Junio 2024,2.50643
545,28 de Junio 2024,2.50667
546,29 de Junio 2024,2.50691
547,30 de Junio 2024,2.50715
548,1 de Julio 2024,2.50738
549,2 de Julio 2024,2.50761
550,3 de Julio 2024,2.50784
551,4 de Julio 2024,2.50807
552,5 de Julio 2024,2.50830
553,6 de Julio 2024,2.50853
554,7 de Julio 2024,2.50876
555,8 de Julio 2024,2.50899
556,9 de Julio 2024,2.50922
557,10 de Julio 2024,2.50945
558,11 de Julio 2024,2.50970
559,12 de Julio 2024,2.50995
560,13 de Julio 2024,2.51020
561,14 de Julio 2024,2.51045
562,15 de Julio 2024,2.51070
563,16 de Julio 2024,2.51095
564,17 de Julio 2024,2.51120
565,18 de Julio 2024,2.51145
566,19 de Julio 2024,2.51170
567,20 de Julio 2024,2.51195
568,21 de Julio 2024,2.51220
569,22 de Julio 2024,2.51245
570,23 de Julio 2024,2.51270
571,24 de Julio 2024,2.51296
572,25 de Julio 2024,2.51322
573,26 de Julio 2024,2.51348
574,27 de Julio 2024,2.51374
575,28 de Julio 2024,2.51400
576,29 de Julio 2024,2.51426
577,30 de Julio 2024,2.51452
578,31 de Julio 2024,2.51478
579,1 de Agosto 2024,2.51504
580,2 de Agosto 2024,2.51530
581,3 de Agosto 2024,2.51556
582,4 de Agosto 2024,2.51582
583,5 de Agosto 2024,2.51608
584,6 de Agosto 2024,2.51634
585,7 de Agosto 2024,2.51660
586,8 de Agosto 2024,2.51686
587,9 de Agosto 2024,2.51712
588,10 de Agosto 2024,2.51738
589,11 de Agosto 2024,2.51764
590,12 de Agosto 2024,2.51790
591,13 de Agosto 2024,2.51816
592,14 de Agosto 2024,2.51842
593,15 de Agosto 2024,2.51868
594,16 de Agosto 2024,2.51894
595,17 de Agosto 2024,2.51920
596,18 de Agosto 2024,2.51946
597,19 de Agosto 2024,2.51972
598,20 de Agosto 2024,2.51998
599,21 de Agosto 2024,2.52024
600,22 de Agosto 2024,2.52050
601,23 de Agosto 2024,2.52076
602,24 de Agosto 2024,2.52102
603,25 de Agosto 2024,2.52128
604,26 de Agosto 2024,2.52154
605,27 de Agosto 2024,2.52180
606,28 de Agosto 2024,2.52206
607,29 de Agosto 2024,2.52232
608,30 de Agosto 2024,2.52258
609,31 de Agosto 2024,2.52284
